2020-05-01 23:37:24.7529|ERROR|MailSender|System.Net.Mail.SmtpException: The SMTP server requires a secure connection or the client was not authenticated. The server response was: 5.7.0 Authentication Required. Learn more at
   at System.Net.Mail.MailCommand.CheckResponse(SmtpStatusCode statusCode, String response)
   at System.Net.Mail.MailCommand.Send(SmtpConnection conn, Byte[] command, MailAddress from, Boolean allowUnicode)
   at System.Net.Mail.SmtpTransport.SendMail(MailAddress sender, MailAddressCollection recipients, String deliveryNotify, Boolean allowUnicode, SmtpFailedRecipientException& exception)
   at System.Net.Mail.SmtpClient.Send(MailMessage message)
   at MailSender.SendMail(String subject, String body, String[] toMails) in G:\project\My\LearnBug\Services\MailSender.cs:line 36
2020-05-01 23:39:32.5934|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:c0762fb2 has started in 887.0574 ms
2020-05-01 23:39:32.7474|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:574bf245 has started in 1040.8947 ms
2020-05-01 23:39:32.5534|TRACE|Hangfire.SqlServer.CountersAggregator|Records from the 'Counter' table aggregated.
2020-05-01 23:39:32.6604|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:3b9f489e has started in 954.0361 ms
2020-05-01 23:39:32.6734|DEBUG|Hangfire.SqlServer.ExpirationManager|Removing outdated records from the 'Job' table...
2020-05-01 23:39:32.8234|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop DelayedJobScheduler:5963f39a has started in 148.7444 ms
2020-05-01 23:39:32.8894|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop RecurringJobScheduler:794b36de has started in 92.22 ms
2020-05-01 23:39:32.8624|INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-gnrm4ms:14864:7191bb6d all the dispatchers started
2020-05-01 23:39:32.9405|TRACE|Hangfire.SqlServer.ExpirationManager|Outdated records removed from the 'Job' table.
2020-05-01 23:39:33.0005|DEBUG|Hangfire.SqlServer.ExpirationManager|Removing outdated records from the 'List' table...
2020-05-01 23:39:33.1375|TRACE|Hangfire.SqlServer.ExpirationManager|Outdated records removed from the 'List' table.
2020-05-01 23:39:33.1595|DEBUG|Hangfire.SqlServer.ExpirationManager|Removing outdated records from the 'Set' table...
2020-05-01 23:39:33.2375|TRACE|Hangfire.SqlServer.ExpirationManager|Outdated records removed from the 'Set' table.
2020-05-01 23:39:33.2555|DEBUG|Hangfire.SqlServer.ExpirationManager|Removing outdated records from the 'Hash' table...
2020-05-01 23:39:33.3335|TRACE|Hangfire.SqlServer.ExpirationManager|Outdated records removed from the 'Hash' table.
2020-05-01 23:39:39.2344|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:39:39.2554|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:39:44.2928|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:39:44.3588|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:39:49.5068|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:39:49.5388|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:39:54.6006|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
